year_month,new_registrations,cumulative_patients
2019-01,2,2
2019-02,2,4
2019-03,2,6
2019-05,1,7
2019-06,1,8
2019-07,2,10
2019-08,6,16
2019-09,3,19
2019-10,8,27
2019-11,2,29
2019-12,1,30
2020-01,2,32
2020-02,5,37
2020-03,2,39
2020-04,1,40
2020-05,2,42
2020-06,3,45
2020-07,2,47
2020-09,2,49
2020-10,2,51
2020-11,2,53
2021-01,2,55
2021-02,4,59
2021-04,2,61
2021-05,4,65
2021-06,2,67
2021-07,3,70
2021-08,2,72
2021-09,4,76
2021-10,5,81
2021-12,6,87
2022-01,1,88
2022-02,3,91
2022-03,2,93
2022-04,1,94
2022-05,3,97
2022-07,4,101
2022-09,1,102
2022-10,2,104
2022-11,2,106
2022-12,1,107
2023-02,1,108
2023-03,1,109
2023-04,1,110
2023-05,1,111
2023-06,1,112
2023-07,5,117
2023-08,1,118
2023-09,3,121
2023-10,1,122
2023-11,3,125
2023-12,1,126
2024-01,2,128
2024-02,3,131
2024-03,2,133
2024-04,2,135
2024-05,2,137
2024-06,4,141
2024-08,1,142
2024-09,3,145
2024-10,2,147
2024-11,1,148
2024-12,2,150
